alpha,penalty,learning_rate,eta0,class_weight,train_accuracy,val_accuracy,val_f1,gap
0.01,l2,constant,0.1,None,0.6740406320541761,0.6589882565492322,0.4679351656095842,0.015052375504943871
0.01,l2,constant,0.1,balanced,0.6993792325056434,0.6806684733514001,0.63003663003663,0.01871075915424325
0.01,l2,invscaling,0.01,None,0.7266365688487585,0.7113821138211383,0.6162162162162163,0.01525445502762024
0.01,l2,invscaling,0.01,balanced,0.7146162528216704,0.6775067750677507,0.6703601108033241,0.037109477753919706
0.01,l2,invscaling,0.1,None,0.7371896162528216,0.7149954832881662,0.6068535825545172,0.022194132964655444
0.01,l2,invscaling,0.1,balanced,0.748589164785553,0.7140921409214093,0.6898579127878491,0.03449702386414377
0.01,elasticnet,optimal,0.01,None,0.6162528216704289,0.6124661246612466,0.285,0.003786697009182327
0.01,elasticnet,optimal,0.01,balanced,0.662076749435666,0.6540198735320687,0.47534246575342465,0.008056875903597271
0.01,elasticnet,constant,0.01,None,0.6125846501128668,0.6065943992773261,0.26248941574936496,0.0059902508355407225
0.01,elasticnet,constant,0.01,balanced,0.6660835214446953,0.6580849141824752,0.4888588791357191,0.007998607262220125
0.01,elasticnet,constant,0.1,None,0.6193002257336343,0.6138211382113821,0.3088116410670978,0.005479087522252235
0.01,elasticnet,constant,0.1,balanced,0.6530474040632054,0.6476964769647696,0.4,0.005350927098435765
0.01,elasticnet,invscaling,0.01,None,0.6422121896162528,0.6404697380307136,0.4198250728862974,0.0017424515855392064
0.01,elasticnet,invscaling,0.01,balanced,0.5247178329571106,0.523486901535682,0.6241539009618811,0.001230931421428605
0.01,elasticnet,invscaling,0.1,None,0.641647855530474,0.6373080397470642,0.4091243561442237,0.004339815783409806
0.01,elasticnet,invscaling,0.1,balanced,0.6744920993227991,0.6684733514001807,0.513262599469496,0.0060187479226183616
0.1,l1,optimal,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,optimal,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,l1,constant,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,constant,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,l1,constant,0.1,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,constant,0.1,balanced,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,invscaling,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,invscaling,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,l1,invscaling,0.1,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,l1,invscaling,0.1,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,l2,optimal,0.01,None,0.6477990970654628,0.6418247515808492,0.3526530612244898,0.005974345484613619
0.1,l2,optimal,0.01,balanced,0.5713882618510158,0.5654923215898826,0.6486486486486487,0.005895940261133159
0.1,l2,constant,0.01,None,0.5760722347629796,0.5745257452574526,0.059880239520958084,0.0015464895055270489
0.1,l2,constant,0.01,balanced,0.7012979683972912,0.6937669376693767,0.5830258302583026,0.007531030727914501
0.1,l2,constant,0.1,None,0.5755079006772009,0.575880758807588,0.07305034550839092,-0.00037285813038712146
0.1,l2,constant,0.1,balanced,0.643510158013544,0.6476964769647696,0.4743935309973046,-0.004186318951225565
0.1,l2,invscaling,0.01,None,0.7213882618510158,0.7091237579042458,0.6014851485148515,0.012264503946770033
0.1,l2,invscaling,0.01,balanced,0.7134875846501129,0.6788617886178862,0.6715935334872979,0.03462579603222671
0.1,l2,invscaling,0.1,None,0.6492663656884876,0.6427280939476061,0.3563873067534581,0.006538271740881507
0.1,l2,invscaling,0.1,balanced,0.7293453724604966,0.7009936766034327,0.6798839458413927,0.028351695857063874
0.1,elasticnet,optimal,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,optimal,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,elasticnet,constant,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,constant,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,elasticnet,constant,0.1,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,constant,0.1,balanced,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,invscaling,0.01,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,invscaling,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.1,elasticnet,invscaling,0.1,None,0.5613431151241535,0.5609756097560976,0.0,0.00036750536805585376
0.1,elasticnet,invscaling,0.1,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
