alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
0.001,balanced,0.01,0.15,adaptive,elasticnet,0.7660532019354619
0.001,balanced,0.01,0.5,constant,l2,0.7632230246885067
0.001,balanced,0.01,0.5,constant,elasticnet,0.7718332552773697
0.001,balanced,0.01,0.5,optimal,l2,0.7637748606540741
0.001,balanced,0.01,0.5,optimal,elasticnet,0.7809646450839899
0.001,balanced,0.01,0.5,invscaling,l2,0.7404609631697643
0.001,balanced,0.01,0.5,invscaling,elasticnet,0.7528663356827126
0.001,balanced,0.01,0.5,adaptive,l2,0.7632230246885067
0.001,balanced,0.01,0.5,adaptive,elasticnet,0.7718332552773697
0.001,balanced,0.1,0.15,constant,l2,0.7623082686572988
0.001,balanced,0.1,0.15,constant,elasticnet,0.7674779023242985
0.001,balanced,0.1,0.15,optimal,l2,0.7637748606540741
0.001,balanced,0.1,0.15,optimal,elasticnet,0.7679547791895095
0.001,balanced,0.1,0.15,invscaling,l2,0.7472530146598801
0.001,balanced,0.1,0.15,invscaling,elasticnet,0.7518145526319325
0.001,balanced,0.1,0.15,adaptive,l2,0.7623082686572988
0.001,balanced,0.1,0.15,adaptive,elasticnet,0.7674779023242985
0.001,balanced,0.1,0.5,constant,l2,0.7623082686572988
0.001,balanced,0.1,0.5,constant,elasticnet,0.7820707281257986
0.001,balanced,0.1,0.5,optimal,l2,0.7637748606540741
0.001,balanced,0.1,0.5,optimal,elasticnet,0.7809646450839899
0.001,balanced,0.1,0.5,invscaling,l2,0.7472530146598801
0.001,balanced,0.1,0.5,invscaling,elasticnet,0.7603636910552921
0.001,balanced,0.1,0.5,adaptive,l2,0.7623082686572988
0.001,balanced,0.1,0.5,adaptive,elasticnet,0.7820707281257986
0.01,,0.001,0.15,constant,l2,0.4497947064496793
0.01,,0.001,0.15,constant,elasticnet,0.39987319990281855
0.01,,0.001,0.15,optimal,l2,0.36754046005466146
0.01,,0.001,0.15,optimal,elasticnet,0.3610781303719251
0.01,,0.001,0.15,invscaling,l2,0.5339250947823593
0.01,,0.001,0.15,invscaling,elasticnet,0.4509434898637596
0.01,,0.001,0.15,adaptive,l2,0.4497947064496793
0.01,,0.001,0.15,adaptive,elasticnet,0.39987319990281855
0.01,,0.001,0.5,constant,l2,0.4497947064496793
0.01,,0.001,0.5,constant,elasticnet,0.35977818252155264
