alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
0.01,balanced,0.1,0.15,invscaling,l2,0.7384595374087979
0.01,balanced,0.1,0.15,invscaling,elasticnet,0.7471842904644037
0.01,balanced,0.1,0.15,adaptive,l2,0.697154547496275
0.01,balanced,0.1,0.15,adaptive,elasticnet,0.6962553114167749
0.01,balanced,0.1,0.5,constant,l2,0.697154547496275
0.01,balanced,0.1,0.5,constant,elasticnet,0.662921354937418
0.01,balanced,0.1,0.5,optimal,l2,0.625034178759323
0.01,balanced,0.1,0.5,optimal,elasticnet,0.45930017076608315
0.01,balanced,0.1,0.5,invscaling,l2,0.7384595374087979
0.01,balanced,0.1,0.5,invscaling,elasticnet,0.6170227704799043
0.01,balanced,0.1,0.5,adaptive,l2,0.697154547496275
0.01,balanced,0.1,0.5,adaptive,elasticnet,0.662921354937418
